T,Genjyo,Suggested
0,0,0
1,0.295776128830693,0.295776128830693
2,0.517113762519447,0.517113762519447
3,0.707790177194184,0.707790177194184
4,0.881542073502797,0.881542073502797
5,1.04466159888528,1.04466159888528
6,1.20060791502467,1.20060791502467
7,1.35150322205302,1.35150322205302
8,1.49874902073579,1.49874902073579
9,1.64332120926739,1.64332120926739
10,1.78592700441008,1.78592700441008
11,1.92709512090831,1.92709512090831
12,2.00750083793983,2.00750083793983
13,2.08953437629039,2.08953437629039
14,2.17319213836467,2.17319213836467
15,2.2584652233484,2.2584652233484
16,2.34534117150271,2.34534117150271
17,2.43380515480367,2.43380515480367
18,2.52384080240587,2.52384080240587
19,2.61543077996095,2.61543077996095
20,2.70855719990659,2.70855719990659
21,2.80320191381109,2.80320191381109
22,2.89934672128275,2.89934672128275
23,2.99697351916125,2.99697351916125
24,3.05382894692041,3.05382894692041
25,3.11298417268655,3.11298417268655
26,3.17437218710614,3.17437218710614
27,3.23793099199771,3.23793099199771
28,3.30360303592035,3.30360303592035
29,3.37133473221487,3.37133473221487
30,3.44107604496053,3.44107604496053
31,3.51278013126652,3.51278013126652
32,3.58640303060791,3.58640303060791
33,3.6619033936958,3.6619033936958
34,3.73924224476555,3.73924224476555
35,3.8183827722688,3.8183827722688
36,3.86480503464133,3.86480503464133
37,3.91343033069019,3.91343033069019
38,3.96420866635607,3.96420866635607
39,4.01709278867387,4.01709278867387
40,4.07203796268473,4.07203796268473
41,4.12900177186407,4.12900177186407
42,4.18794393906143,4.18794393906143
43,4.24882616539481,4.24882616539481
44,4.31161198491385,4.31161198491385
45,4.37626663315636,4.37626663315636
46,4.44275692798311,4.44275692798311
47,4.51105116129504,4.51105116129504
48,4.5512540198108,4.5512540198108
49,4.5935077525009,4.5935077525009
50,4.63777527923865,4.63777527923865
51,4.68402110265147,4.68402110265147
52,4.73221120813992,4.73221120813992
53,4.78231297209128,4.78231297209128
54,4.83429507747108,4.83429507747108
55,4.88812743607076,4.88812743607076
56,4.94378111677272,4.94378111677272
57,5.00122827926526,5.00122827926526
58,5.06044211270301,5.06044211270301
59,5.12139677886277,5.12139677886277
60,5.15735530867519,5.15735530867519
61,5.1952255613693,5.1952255613693
62,5.23497897391786,5.23497897391786
63,5.27658797884594,5.27658797884594
64,5.3200259529231,5.3200259529231
65,5.36526716929201,5.36526716929201
66,5.41228675275315,5.41228675275315
67,5.46106063795155,5.46106063795155
68,5.5115655302361,5.5115655302361
69,5.56377886898266,5.56377886898266
70,5.61767879319183,5.61767879319183
71,5.67324410918897,5.67324410918897
72,5.70606960571061,5.70606960571061
73,5.74068758314219,5.74068758314219
74,5.77707526597318,5.77707526597318
75,5.81521054890813,5.81521054890813
76,5.85507196771117,5.85507196771117
77,5.89663867170108,5.89663867170108
78,5.93989039778264,5.93989039778264
79,5.98480744590954,5.98480744590954
80,6.03137065588235,6.03137065588235
81,6.07956138539289,6.07956138539289
82,6.12936148923287,6.12936148923287
83,6.18075329959167,6.18075329959167
84,6.21114380405641,6.21114380405641
85,6.24322522957595,6.24322522957595
86,6.27697890227429,6.27697890227429
87,6.3123866235797,6.3123866235797
88,6.34943065234084,6.34943065234084
