year,suggested,genjyo
0,1.64E+08,1.82E+07
1,3.17E+08,2.51E+07
2,4.41E+08,3.21E+07
3,5.26E+08,4.57E+06
4,5.62E+08,1.16E+07
5,6.86E+08,1.85E+07
6,7.80E+08,2.55E+07
7,7.87E+08,3.25E+07
8,7.94E+08,3.95E+07
9,7.97E+08,4.65E+07
10,8.04E+08,5.35E+07
11,8.11E+08,6.05E+07
12,7.73E+08,1.79E+07
13,7.80E+08,2.49E+07
14,9.04E+08,3.19E+07
15,9.60E+08,4.33E+06
16,9.67E+08,1.13E+07
17,9.73E+08,1.83E+07
18,9.80E+08,2.53E+07
19,9.87E+08,3.23E+07
20,9.94E+08,3.93E+07
21,9.97E+08,4.63E+07
22,1.00E+09,5.32E+07
23,1.01E+09,6.02E+07
24,1.02E+09,6.72E+07
25,1.03E+09,7.42E+07
26,1.03E+09,8.12E+07
27,9.55E+08,4.10E+06
28,9.62E+08,1.11E+07
29,9.69E+08,1.81E+07
30,9.76E+08,2.51E+07
31,9.83E+08,3.20E+07
32,9.90E+08,3.90E+07
33,9.93E+08,4.60E+07
34,1.00E+09,5.30E+07
35,1.01E+09,6.00E+07
36,1.01E+09,6.70E+07
37,1.02E+09,7.40E+07
38,1.03E+09,8.09E+07
39,9.96E+08,5.34E+07
40,1.00E+09,6.04E+07
41,1.01E+09,6.74E+07
42,9.72E+08,2.48E+07
43,9.79E+08,3.18E+07
44,9.86E+08,3.88E+07
45,9.89E+08,4.58E+07
46,9.96E+08,5.28E+07
47,1.00E+09,5.98E+07
48,1.01E+09,6.67E+07
49,1.02E+09,7.37E+07
50,1.02E+09,8.07E+07
51,9.92E+08,5.31E+07
52,9.99E+08,6.01E+07
53,1.01E+09,6.71E+07
54,1.01E+09,7.41E+07
55,1.02E+09,8.11E+07
56,1.03E+09,8.81E+07
57,9.84E+08,4.55E+07
58,9.91E+08,5.25E+07
59,9.98E+08,5.95E+07
60,1.01E+09,6.65E+07
61,1.01E+09,7.35E+07
62,1.02E+09,8.05E+07
63,9.88E+08,5.29E+07
64,9.94E+08,5.99E+07
65,1.00E+09,6.69E+07
66,1.01E+09,7.39E+07
67,1.02E+09,8.09E+07
