year,suggested,genjyo
0,1.90E+06,1.90E+06
1,2.80E+06,2.80E+06
2,3.70E+06,3.70E+06
3,3.66E+06,4.60E+06
4,2.94E+07,5.50E+06
5,5.50E+07,6.40E+06
6,7.22E+07,7.30E+06
7,7.31E+07,8.20E+06
8,7.40E+07,9.10E+06
9,6.59E+07,1.98E+06
10,9.16E+07,2.88E+06
11,1.01E+08,3.78E+06
12,1.40E+08,-6.63E+06
13,1.66E+08,-5.73E+06
14,1.75E+08,-4.83E+06
15,1.84E+08,-3.93E+06
16,1.85E+08,-3.03E+06
17,1.86E+08,-2.13E+06
18,1.87E+08,-1.23E+06
19,1.88E+08,-3.27E+05
20,1.88E+08,5.73E+05
21,1.77E+08,-1.03E+07
22,1.78E+08,-9.38E+06
23,1.78E+08,-8.48E+06
24,1.79E+08,-7.58E+06
25,1.80E+08,-6.68E+06
26,1.81E+08,-5.78E+06
27,1.71E+08,-1.62E+07
28,1.80E+08,-1.53E+07
29,1.90E+08,-1.44E+07
30,2.00E+08,-1.35E+07
31,2.01E+08,-1.26E+07
32,2.02E+08,-1.17E+07
33,1.94E+08,-1.88E+07
34,1.94E+08,-1.79E+07
35,1.95E+08,-1.70E+07
36,1.96E+08,-1.61E+07
37,1.97E+08,-1.52E+07
38,1.98E+08,-1.43E+07
39,1.98E+08,-1.34E+07
40,1.99E+08,-1.25E+07
41,2.00E+08,-1.16E+07
42,1.90E+08,-2.20E+07
43,1.91E+08,-2.11E+07
44,2.01E+08,-2.02E+07
45,1.89E+08,-3.11E+07
46,1.90E+08,-3.02E+07
47,1.91E+08,-2.93E+07
48,1.92E+08,-2.84E+07
49,1.93E+08,-2.75E+07
50,1.94E+08,-2.66E+07
51,1.94E+08,-2.57E+07
52,1.94E+08,-2.48E+07
53,1.95E+08,-2.39E+07
54,1.96E+08,-2.30E+07
55,1.97E+08,-2.21E+07
56,1.98E+08,-2.12E+07
57,1.80E+08,-3.96E+07
58,1.81E+08,-3.87E+07
59,1.90E+08,-3.78E+07
60,1.91E+08,-3.69E+07
61,1.92E+08,-3.60E+07
62,1.93E+08,-3.51E+07
63,1.93E+08,-3.42E+07
64,1.94E+08,-3.33E+07
65,1.95E+08,-3.24E+07
66,1.96E+08,-3.15E+07
67,1.96E+08,-3.06E+07
68,1.97E+08,-2.97E+07
69,1.86E+08,-4.05E+07
70,1.86E+08,-3.96E+07
71,1.87E+08,-3.87E+07
72,1.78E+08,-4.91E+07
73,1.79E+08,-4.82E+07
74,1.80E+08,-4.73E+07
75,1.80E+08,-4.64E+07
76,1.81E+08,-4.55E+07
77,1.81E+08,-4.46E+07
78,1.82E+08,-4.37E+07
79,1.83E+08,-4.28E+07
80,1.84E+08,-4.19E+07
81,1.76E+08,-4.91E+07
82,1.77E+08,-4.82E+07
83,1.78E+08,-4.73E+07
84,1.79E+08,-4.64E+07
85,1.80E+08,-4.55E+07
86,1.81E+08,-4.46E+07
87,1.70E+08,-5.50E+07
88,1.71E+08,-5.41E+07
89,1.72E+08,-5.32E+07
90,1.73E+08,-5.23E+07
91,1.74E+08,-5.14E+07
92,1.75E+08,-5.05E+07
93,1.63E+08,-6.13E+07
94,1.64E+08,-6.04E+07
95,1.65E+08,-5.95E+07
96,1.66E+08,-5.86E+07
97,1.67E+08,-5.77E+07
98,1.67E+08,-5.68E+07
99,1.67E+08,-5.59E+07
100,1.68E+08,-5.50E+07
101,1.69E+08,-5.41E+07
102,1.60E+08,-6.45E+07
103,1.61E+08,-6.36E+07
104,1.62E+08,-6.27E+07
105,1.53E+08,-6.98E+07
106,1.54E+08,-6.89E+07
107,1.55E+08,-6.80E+07
108,1.56E+08,-6.71E+07
109,1.57E+08,-6.62E+07
110,1.58E+08,-6.53E+07
111,1.58E+08,-6.44E+07
112,1.59E+08,-6.35E+07
113,1.60E+08,-6.26E+07
114,1.61E+08,-6.17E+07
115,1.62E+08,-6.08E+07
116,1.62E+08,-5.99E+07
117,1.40E+08,-8.21E+07
118,1.41E+08,-8.12E+07
119,1.42E+08,-8.03E+07
120,1.43E+08,-7.94E+07
121,1.44E+08,-7.85E+07
122,1.45E+08,-7.76E+07
123,1.45E+08,-7.67E+07
124,1.46E+08,-7.58E+07
125,1.47E+08,-7.49E+07
126,1.47E+08,-7.40E+07
127,1.48E+08,-7.31E+07
128,1.49E+08,-7.22E+07
129,1.41E+08,-7.93E+07
130,1.42E+08,-7.84E+07
131,1.43E+08,-7.75E+07
132,1.34E+08,-8.79E+07
133,1.34E+08,-8.70E+07
134,1.35E+08,-8.61E+07
135,1.35E+08,-8.52E+07
136,1.36E+08,-8.43E+07
137,1.37E+08,-8.34E+07
138,1.38E+08,-8.25E+07
139,1.39E+08,-8.16E+07
140,1.40E+08,-8.07E+07
141,1.28E+08,-9.16E+07
142,1.29E+08,-9.07E+07
143,1.30E+08,-8.98E+07
144,1.31E+08,-8.89E+07
145,1.32E+08,-8.80E+07
146,1.32E+08,-8.71E+07
147,1.22E+08,-9.75E+07
148,1.23E+08,-9.66E+07
149,1.24E+08,-9.57E+07
150,1.25E+08,-9.48E+07
151,1.26E+08,-9.39E+07
152,1.27E+08,-9.30E+07
153,1.19E+08,-1.00E+08
154,1.19E+08,-9.92E+07
155,1.20E+08,-9.83E+07
156,1.21E+08,-9.74E+07
157,1.22E+08,-9.65E+07
158,1.23E+08,-9.56E+07
159,1.23E+08,-9.47E+07
160,1.24E+08,-9.38E+07
161,1.25E+08,-9.29E+07
162,1.15E+08,-1.03E+08
163,1.16E+08,-1.02E+08
164,1.17E+08,-1.01E+08
165,1.05E+08,-1.12E+08
166,1.06E+08,-1.11E+08
167,1.07E+08,-1.11E+08
168,1.08E+08,-1.10E+08
169,1.09E+08,-1.09E+08
170,1.10E+08,-1.08E+08
171,1.10E+08,-1.07E+08
172,1.11E+08,-1.06E+08
173,1.12E+08,-1.05E+08
174,1.12E+08,-1.04E+08
175,1.13E+08,-1.03E+08
176,1.14E+08,-1.02E+08
177,9.59E+07,-1.21E+08
178,9.68E+07,-1.20E+08
179,9.77E+07,-1.19E+08
180,9.86E+07,-1.18E+08
181,9.95E+07,-1.17E+08
182,1.00E+08,-1.16E+08
183,1.00E+08,-1.15E+08
184,1.01E+08,-1.15E+08
185,1.02E+08,-1.14E+08
186,1.03E+08,-1.13E+08
187,1.04E+08,-1.12E+08
188,1.05E+08,-1.11E+08
189,9.30E+07,-1.22E+08
190,9.39E+07,-1.21E+08
191,9.48E+07,-1.20E+08
192,8.54E+07,-1.30E+08
193,8.63E+07,-1.30E+08
194,8.72E+07,-1.29E+08
195,8.71E+07,-1.28E+08
196,8.80E+07,-1.27E+08
197,8.89E+07,-1.26E+08
198,8.98E+07,-1.25E+08
199,9.07E+07,-1.24E+08
200,9.16E+07,-1.23E+08
