year,suggested,genjyo
0,3.68E+02,7.49E+01
1,6.61E+02,8.24E+01
2,6.69E+02,9.00E+01
3,9.70E+02,9.75E+01
4,1.17E+03,1.05E+02
5,1.18E+03,1.13E+02
6,1.19E+03,1.20E+02
7,1.12E+03,6.05E+01
8,1.13E+03,6.81E+01
9,1.28E+03,7.56E+01
10,1.49E+03,-1.29E+01
11,1.50E+03,-5.32E+00
12,1.51E+03,2.22E+00
13,1.51E+03,9.76E+00
14,1.52E+03,1.73E+01
15,1.52E+03,2.48E+01
16,1.53E+03,3.24E+01
17,1.54E+03,3.99E+01
18,1.55E+03,4.75E+01
19,1.47E+03,-1.74E+01
20,1.48E+03,-9.82E+00
21,1.49E+03,-2.28E+00
22,1.50E+03,5.26E+00
23,1.50E+03,1.28E+01
24,1.51E+03,2.03E+01
25,1.42E+03,-6.81E+01
26,1.43E+03,-6.06E+01
27,1.44E+03,-5.30E+01
28,1.45E+03,-4.55E+01
29,1.45E+03,-3.79E+01
30,1.46E+03,-3.04E+01
31,1.39E+03,-9.00E+01
32,1.40E+03,-8.25E+01
33,1.41E+03,-7.50E+01
34,1.61E+03,-6.74E+01
35,1.62E+03,-5.99E+01
36,1.63E+03,-5.23E+01
37,1.63E+03,-4.48E+01
38,1.63E+03,-3.73E+01
39,1.64E+03,-2.97E+01
40,1.56E+03,-1.18E+02
41,1.57E+03,-1.11E+02
42,1.58E+03,-1.03E+02
43,1.50E+03,-1.68E+02
44,1.51E+03,-1.60E+02
45,1.52E+03,-1.53E+02
46,1.53E+03,-1.45E+02
47,1.53E+03,-1.38E+02
48,1.54E+03,-1.30E+02
49,1.54E+03,-1.23E+02
50,1.55E+03,-1.15E+02
51,1.56E+03,-1.08E+02
52,1.56E+03,-1.00E+02
53,1.57E+03,-9.25E+01
54,1.58E+03,-8.50E+01
55,1.42E+03,-2.41E+02
56,1.43E+03,-2.33E+02
57,1.54E+03,-2.26E+02
58,1.54E+03,-2.18E+02
59,1.55E+03,-2.10E+02
60,1.56E+03,-2.03E+02
61,1.56E+03,-1.95E+02
62,1.57E+03,-1.88E+02
63,1.57E+03,-1.80E+02
64,1.58E+03,-1.73E+02
65,1.59E+03,-1.65E+02
66,1.60E+03,-1.58E+02
67,1.52E+03,-2.22E+02
68,1.53E+03,-2.15E+02
69,1.54E+03,-2.07E+02
70,1.46E+03,-2.96E+02
71,1.47E+03,-2.88E+02
72,1.47E+03,-2.81E+02
73,1.47E+03,-2.73E+02
74,1.48E+03,-2.66E+02
75,1.49E+03,-2.58E+02
76,1.49E+03,-2.51E+02
77,1.50E+03,-2.43E+02
78,1.51E+03,-2.36E+02
79,1.44E+03,-2.95E+02
80,1.45E+03,-2.88E+02
81,1.46E+03,-2.80E+02
82,1.46E+03,-2.73E+02
83,1.47E+03,-2.65E+02
84,1.48E+03,-2.57E+02
85,1.39E+03,-3.46E+02
86,1.40E+03,-3.38E+02
87,1.41E+03,-3.31E+02
88,1.41E+03,-3.23E+02
89,1.42E+03,-3.16E+02
90,1.43E+03,-3.08E+02
91,1.36E+03,-3.73E+02
92,1.36E+03,-3.65E+02
93,1.37E+03,-3.58E+02
94,1.38E+03,-3.50E+02
95,1.39E+03,-3.43E+02
96,1.39E+03,-3.35E+02
97,1.39E+03,-3.28E+02
98,1.40E+03,-3.20E+02
99,1.41E+03,-3.13E+02
100,1.33E+03,-4.01E+02
101,1.34E+03,-3.94E+02
102,1.34E+03,-3.86E+02
103,1.28E+03,-4.46E+02
104,1.28E+03,-4.38E+02
105,1.29E+03,-4.31E+02
106,1.30E+03,-4.23E+02
107,1.31E+03,-4.16E+02
108,1.31E+03,-4.08E+02
109,1.31E+03,-4.00E+02
110,1.32E+03,-3.93E+02
111,1.33E+03,-3.85E+02
112,1.34E+03,-3.78E+02
113,1.34E+03,-3.70E+02
114,1.35E+03,-3.63E+02
115,1.19E+03,-5.24E+02
116,1.20E+03,-5.16E+02
117,1.20E+03,-5.08E+02
118,1.21E+03,-5.01E+02
119,1.22E+03,-4.93E+02
120,1.23E+03,-4.86E+02
121,1.23E+03,-4.78E+02
122,1.23E+03,-4.71E+02
123,1.24E+03,-4.63E+02
124,1.25E+03,-4.56E+02
125,1.26E+03,-4.48E+02
126,1.26E+03,-4.41E+02
127,1.20E+03,-5.00E+02
128,1.20E+03,-4.93E+02
129,1.21E+03,-4.85E+02
130,1.13E+03,-5.74E+02
131,1.14E+03,-5.66E+02
132,1.15E+03,-5.59E+02
133,1.34E+03,-5.51E+02
134,1.35E+03,-5.43E+02
135,1.36E+03,-5.36E+02
136,1.36E+03,-5.28E+02
137,1.37E+03,-5.21E+02
138,1.38E+03,-5.13E+02
139,1.31E+03,-5.78E+02
140,1.31E+03,-5.71E+02
141,1.32E+03,-5.63E+02
142,1.33E+03,-5.55E+02
143,1.34E+03,-5.48E+02
